일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),대분류,중분류,통화비율(시군구내)
20191020,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191020,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191020,30,남성,충남,천안시 서북구,음식점,중식,0.0002
20191020,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191020,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191020,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191020,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191020,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191020,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191020,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191020,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191020,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191021,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191021,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191021,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191021,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191021,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191021,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191021,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191021,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191022,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191022,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191022,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191022,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191022,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191022,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191022,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191022,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191022,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191022,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191023,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191023,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191023,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191023,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191023,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191023,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191023,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191023,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191023,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191023,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191024,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191024,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191024,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191024,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191024,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191024,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191024,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191024,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191024,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191024,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191024,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191025,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191025,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191025,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191025,30,남성,충남,천안시 서북구,음식점,한식,0.0003
20191025,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191025,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191025,40,남성,충남,천안시 서북구,음식점,한식,0.0003
20191025,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191025,40,여성,충남,천안시 서북구,음식점,치킨,0.0003
20191025,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191025,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191026,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191026,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191026,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191026,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191026,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191026,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191026,30,여성,충남,천안시 서북구,음식점,한식,0.0003
20191026,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191026,40,남성,충남,천안시 서북구,음식점,한식,0.0003
20191026,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191026,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191026,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191026,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191026,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191026,40,여성,충남,천안시 서북구,음식점,치킨,0.0003
20191026,30,여성,충남,천안시 서북구,음식점,분식,0.0001
20191027,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191027,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191027,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191027,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191027,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191027,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191027,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191027,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191027,30,남성,충남,천안시 서북구,음식점,중식,0.0002
20191027,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191027,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191027,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191027,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191027,40,남성,충남,천안시 서북구,음식점,중식,0.0002
20191028,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191028,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191028,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191028,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191028,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191028,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191028,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191028,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191028,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191028,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191029,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191029,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191029,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191029,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191029,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191029,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191029,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191029,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191029,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191029,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191030,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191030,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191030,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191030,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191030,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191030,40,남성,충남,천안시 서북구,음식점,한식,0.0002
